,trabalho,sala
1,Cesta Refrigerada,Informática
2,Produção De Água Potável A Partir De Água Do Mar Empregando O Método De Anidração Centrípeta,Meio Ambiente
3,Sistema de segurança por RFID,Informática
4,Chocadeira elétrica,Informática
6,Sistema de Biblioteca,Informática
7,Construção de um biodigestor anaeróbio para tratamento de manipueira,Meio Ambiente
8,Sabão a olheo,Meio Ambiente
9,Tabela Periódica,Informática
10,Purificação da água através do mandacaru,Meio Ambiente
11,Ondas ,Meio Ambiente
12,Criação de mudas com chorume com a técnica de hidroponia!,Meio Ambiente
13,Moedas equilibradas (experiência com imã),Informática
14,Sistema de controle de acesso pela biometria,Informática
15,Sistema de Segurança,Informática
16,Espectofotômetro,Informática
17,Monitoramento de Frequência Acadêmica,Informática
18,RAW ( Ração e Água Automatizada),Informática
19,Moeda equilibrista,Meio Ambiente
20,Os Polímeros de Helena,Meio Ambiente
21,Vamos descascar o abacaxi?!,Meio Ambiente
22,Imagens de interferência de ondas.,Meio Ambiente
23,O Pêndulo desenhista,Meio Ambiente
